,character,character reverse,firstname,lastname,display name
0,Airi Sakura,Sakura Airi,Airi,Sakura,Airi Sakura
1,Akane Tachibana,Tachibana Akane,Akane,Tachibana,Akane Tachibana
2,Akito Miyake,Miyake Akito,Akito,Miyake,Akito Miyake
3,Albert Yamada,Yamada Albert,Albert,Yamada,Albert Yamada
4,Arisu Sakayanagi,Sakayanagi Arisu,Arisu,Sakayanagi,Arisu Sakayanagi
5,Chairman Sakayanagi,Sakayanagi Chairman,Chairman,Sakayanagi,Chairman Sakayanagi
6,Chiaki Matsushita,Matsushita Chiaki,Chiaki,Matsushita,Chiaki Matsushita
7,Chie Hoshinomiya,Hoshinomiya Chie,Chie,Hoshinomiya,Chie Hoshinomiya
8,Chihiro Shiranami,Shiranami Chihiro,Chihiro,Shiranami,Chihiro Shiranami
9,Daichi Ishizaki,Ishizaki Daichi,Daichi,Ishizaki,Daichi Ishizaki
11,Fūka Kiryūin,Kiryūin Fūka,Fūka,Kiryūin,Fuuka Kiryuuin
12,Haruka Hasebe,Hasebe Haruka,Haruka,Hasebe,Haruka Hasebe
13,Haruki Yamauchi,Yamauchi Haruki,Haruki,Yamauchi,Haruki Yamauchi
14,Hayato Kitō,Kitō Hayato,Hayato,Kitō,Hayato Kitou
15,Hideo Sotomura,Sotomura Hideo,Hideo,Sotomura,Hideo Sotomura
16,Hiroya Tokitō,Tokitō Hiroya,Hiroya,Tokitō,Hiroya Tokitou
17,Hiyori Shiina,Shiina Hiyori,Hiyori,Shiina,Hiyori Shiina
18,Honami Ichinose,Ichinose Honami,Honami,Ichinose,Honami Ichinose
19,Ichika Amasawa,Amasawa Ichika,Ichika,Amasawa,Ichika Amasawa
20,Ikuto Kiriyama,Kiriyama Ikuto,Ikuto,Kiriyama,Ikuto Kiriyama
21,Kakeru Ryūen,Ryūen Kakeru,Kakeru,Ryūen,Kakeru Ryuuen
22,Kanji Ike,Ike Kanji,Kanji,Ike,Kanji Ike
23,Katsunori Shiba,Shiba Katsunori,Katsunori,Shiba,Katsunori Shiba
24,Kayano Onodera,Onodera Kayano,Kayano,Onodera,Kayano Onodera
25,Kazuma Sakagami,Sakagami Kazuma,Kazuma,Sakagami,Kazuma Sakagami
26,Kazuomi Hōsen,Hōsen Kazuomi,Kazuomi,Hōsen,Kazuomi Housen
27,Kei Karuizawa,Karuizawa Kei,Kei,Karuizawa,Kei Karuizawa
28,Ken Sudō,Sudō Ken,Ken,Sudō,Ken Sudou
29,Kikyō Kushida,Kushida Kikyō,Kikyō,Kushida,Kikyou Kushida
30,Kiyotaka Ayanokōji,Ayanokōji Kiyotaka,Kiyotaka,Ayanokōji,Kiyotaka Ayanokouji
31,Kokoro Inogashira,Inogashira Kokoro,Kokoro,Inogashira,Kokoro Inogashira
